Supereon,Eon,Era,Period,Epoch,Age,Start_million_years_ago,End_million_years_ago,back_colour,text_colour,Major events
,Phanerozoic,Cenozoic,Quaternary,Holocene,Meghalayan,0.0042,0,fef6f3,black,"4.2 kiloyear event, Little Ice Age, increasing industrial CO2."
,Phanerozoic,Cenozoic,Quaternary,Holocene,Northgrippian,0.0082,0.0042,fef6f3,black,"8.2 kiloyear event, Holocene climatic optimum. Bronze Age."
,Phanerozoic,Cenozoic,Quaternary,Holocene,Greenlandian,0.0117,0.0082,fef6f3,black,Current interglacial begins. Sea level flooding of Doggerland and Sundaland. Sahara desert forms. Neolithic agriculture.
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Late ('Tarantian'),0.126,0.0117,fef3e1,black,"Eemian interglacial, Last glacial period, ending with Younger Dryas. Toba eruption. Megafauna extinction."
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,"Middle ('Ionian', 'Chibanian')",0.781,0.126,fef3d7,black,High amplitude 100 ka glacial cycles. Rise of Homo sapiens.
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Calabrian,1.8,0.781,fff1d0,black,Further cooling of the climate. Spread of Homo erectus.
,Phanerozoic,Cenozoic,Quaternary,Pleistocene,Gelasian,2.58,1.8,ffefbb,black,Start of Quaternary glaciations. Rise of the Pleistocene megafauna and Homo habilis.
,Phanerozoic,Cenozoic,Neogene,Pliocene,Piacenzian,3.6,2.58,fffad2,black,Greenland ice sheet develops. Australopithecus common in East Africa.
,Phanerozoic,Cenozoic,Neogene,Pliocene,Zanclean,5.333,3.6,fffac8,black,Zanclean flooding of the Mediterranean Basin. Cooling climate. Ardipithecus in Africa.
,Phanerozoic,Cenozoic,Neogene,Miocene,Messinian,7.246,5.333,fff38f,black,"Messinian Event with hypersaline lakes in empty Mediterranean Basin. Moderate Icehouse climate, punctuated by ice ages and re-establishment of East Antarctic Ice Sheet; Gradual separation of human and chimpanzee ancestors. Sahelanthropus tchadensis in Africa."
,Phanerozoic,Cenozoic,Neogene,Miocene,Tortonian,11.63,7.246,fff490,black,
,Phanerozoic,Cenozoic,Neogene,Miocene,Serravallian,13.82,11.63,fef380,black,Warmer during middle Miocene climate optimum. Extinctions in middle Miocene disruption.
,Phanerozoic,Cenozoic,Neogene,Miocene,Langhian,15.97,13.82,fef164,black,
,Phanerozoic,Cenozoic,Neogene,Miocene,Burdigalian,20.44,15.97,fff256,black,"Orogeny in Northern Hemisphere. Start of Kaikoura Orogeny forming Southern Alps in New Zealand. Widespread forests slowly draw in massive amounts of CO2, gradually lowering the level of atmospheric CO2 from 650 ppmv down to around 100 ppmv during the Miocene. Modern mammal and bird families become recognizable. Horses and mastodons diverse. Grasses become ubiquitous. Ancestor of apes, including humans."
