event,startYear,startEra,endYear,endEra,notes,period,reference
"Oldest Dryas cold, begins slowly and ends sharply (B-S)",16000,BCE,13000,BCE,,Pleistocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Antarctic Cold Reversal warmer Antarctic, sea levels rise",12701,BCE,12700,BCE,,Pleistocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Bølling oscillation warm and wet in the North Atlantic, begins the Bølling-Allerød period (B-S)",12401,BCE,12400,BCE,,Pleistocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Older Dryas cold, interrupts warm period for some centuries (B-S)",12400,BCE,11500,BCE,,Pleistocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Allerød oscillation warm & moist (B-S),12000,BCE,11000,BCE,,Pleistocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Huelmo/Mascardi Cold Reversal cold in Southern Hemisphere,11400,BCE,9500,BCE,,Pleistocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Late Glacial Maximum, or Tardiglacial (definitions vary)",11000,BCE,8000,BCE,,Pleistocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Younger Dryas sudden cold and dry period in Northern Hemisphere (B-S),10800,BCE,9500,BCE,,Pleistocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Holocene glacial retreat, the present Holocene or Postglacial period begins",10000,BCE,10001,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Pre-Boreal sharp rise in temperature over 50 years (B-S), precedes Boreal",9400,BCE,9350,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Boreal (B-S), rising sea levels, forest replaces tundra in northern Europe",8500,BCE,6900,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Neolithic Subpluvial/African humid period in North Africa, wet",7500,BCE,3900,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"Holocene climatic optimum, or Atlantic in northern Europe",7000,BCE,3000,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
8.2 kiloyear event cold,6250,BCE,6150,BCE,See also Bond Events,Holocene,"Kobashi, Takuro, et al. ""Precise timing and characterization of abrupt climate change 8200 years ago from air trapped in polar ice."" Quaternary Science Reviews 26.9-10 (2007): 1212-1222. https://www.sciencedirect.com/science/article/pii/S0277379106002393 and https://www.sciencedirect.com/science/article/abs/pii/S0277379107000455"
"Older Peron warm and wet, global sea levels were 2.5 to 4 meters (8 to 13 feet) higher than the twentieth-century average",5000,BCE,4100,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
5.9 kiloyear event dry and cold.,3901,BCE,3900,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
"End of the African humid period, Neolithic Subpluvial in North Africa, expands Sahara Desert",3501,BCE,3500,BCE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
Neopluvial in North America,3000,BCE,0,CE,,Holocene,https://en.wikipedia.org/wiki/List_of_periods_and_events_in_climate_history
